po2;SHbO2_lungs;SHbO2_muscle
0;0;0
1;0,004588074;0,003655309
2;0,01213254;0,009574093
3;0,021233709;0,016618636
4;0,031732618;0,024662458
5;0,043683577;0,033754657
6;0,05719099;0,043989199
7;0,072359347;0,055466411
8;0,089272091;0,068277599
9;0,107980109;0,082496943
10;0,128494497;0,098176135
11;0,150782117;0,115340429
12;0,17476369;0,133985793
13;0,200314458;0,154077212
14;0,227267424;0,175548257
15;0,255418997;0,198302042
16;0,284536663;0,222213568
17;0,314368092;0,247133356
18;0,344650962;0,272892179
19;0,375122757;0,299306578
20;0,405529843;0,326184815
21;0,435635256;0,353332878
22;0,465224831;0,38056019
23;0,494111491;0,4076847
24;0,522137699;0,434537152
25;0,54917624;0,460964376
26;0,575129578;0,486831558
27;0,599928108;0,512023532
28;0,623527631;0,536445162
29;0,645906339;0,560020977
30;0,667061597;0,582694183
31;0,687006698;0,604425243
32;0,705767771;0,625190151
33;0,723380937;0,644978549
34;0,739889775;0,663791797
35;0,755343116;0,681641074
36;0,769793191;0,698545586
37;0,783294084;0,714530916
38;0,7959005;0,729627544
39;0,807666774;0,743869546
40;0,818646129;0,757293476
41;0,82889011;0,769937422
42;0,838448189;0,781840217
43;0,847367499;0,793040804
44;0,855692668;0,803577723
45;0,863465742;0,813488715
46;0,870726169;0,822810419
47;0,877510832;0,831578151
48;0,883854117;0,839825747
49;0,889788008;0,847585468
50;0,895342196;0,854887943
51;0,900544202;0,861762146
52;0,905419503;0,86823541
53;0,90999166;0,874333449
54;0,914282448;0,880080409
55;0,918311976;0,88549892
56;0,922098813;0,890610161
57;0,925660098;0,895433929
58;0,929011649;0,899988714
59;0,932168068;0,904291766
60;0,935142831;0,908359173
61;0,937948382;0,912205929
62;0,940596211;0,915846007
63;0,943096935;0,919292422
64;0,945460363;0,922557298
65;0,947695568;0,925651927
66;0,949810938;0,928586825
67;0,951814239;0,931371789
68;0,953712662;0,934015949
69;0,955512868;0,936527809
70;0,957221033;0,9389153
71;0,958842885;0,941185813
72;0,960383742;0,943346245
73;0,961848542;0,945403029
74;0,963241874;0,947362172
75;0,964568006;0,949229281
76;0,96583091;0,951009596
77;0,967034283;0,952708013
78;0,968181571;0,954329113
79;0,969275987;0,95587718
80;0,970320528;0,957356222
81;0,971317993;0,958769994
82;0,972270995;0,960122016
83;0,973181979;0,961415586
84;0,974053229;0,962653795
85;0,974886887;0,963839547
86;0,975684956;0,964975568
87;0,976449313;0,966064415
88;0,97718172;0,967108497
89;0,97788383;0,968110074
90;0,978557193;0,969071274
91;0,979203268;0,969994102
92;0,979823425;0,970880444
93;0,980418952;0,971732077
94;0,980991063;0,972550677
95;0,981540899;0,973337825
96;0,982069537;0,974095013
97;0,982577992;0,974823648
98;0,983067219;0,975525061
99;0,983538122;0,976200509
100;0,983991553;0,97685118
