Time;Glycolysis
0,264400378;0,492610837
0,717658168;0,246305419
1,284230406;0,935960591
1,699716714;0,689655172
2,228517469;0,935960591
2,795089707;0,886699507
3,210576015;1,97044335
3,701605288;1,871921182
4,230406043;2,512315271
4,721435316;1,921182266
5,212464589;2,216748768
5,741265345;3,103448276
6,194523135;2,660098522
6,685552408;2,807881773
7,252124646;3,251231527
7,705382436;4,137931034
8,196411709;4,039408867
8,762983947;4,729064039
9,25401322;4,532019704
9,669499528;5,862068966
10,27384325;4,975369458
10,72710104;5,665024631
11,21813031;6,0591133
11,78470255;6,502463054
12,20018886;7,339901478
12,69121813;7,339901478
13,22001889;7,339901478
13,74881964;7,980295567
14,20207743;8,374384236
14,80642115;8,965517241
15,22190746;8,768472906
15,71293673;9,310344828
16,24173749;9,408866995
16,77053824;10,09852217
17,37488196;11,23152709
17,9414542;12,16748768
18,43248347;12,51231527
18,92351275;13,00492611
19,41454202;13,69458128
19,86779981;14,33497537
20,39660057;14,77832512
20,88762984;15,51724138
21,41643059;16,00985222
21,86968839;16,45320197
22,43626062;17,14285714
22,9272899;18,07881773
23,41831917;18,81773399
23,94711992;19,50738916
