"po2";"SHbO2_con_range";"SHbO2_exp_range"
0;0;0
1;0,00346116462051666;0,00338580298882515
2;0,00904432152296857;0,00883897155954172
3;0,0156668820330865;0,0152983887918988
4;0,023208810810494;0,0226465031693831
5;0,0317173097270156;0,0309297196937377
6;0,0412828419778343;0,0402370342605554
7;0,0520029428727048;0,0506647379290948
8;0,0639679952135765;0,0623026338720106
9;0,077253842287917;0,0752269278824359
10;0,0919169082540621;0,0894955385777482
11;0,107990523291578;0,105144540489428
12;0,12548213953976;0,122185423028637
13;0,144371464343454;0,140603184967778
14;0,164609634934625;0,160355384714995
15;0,186119549166152;0,181372263752846
16;0,208797404037536;0,20355800589028
17;0,232515405232218;0,226793114442212
18;0,257125515990798;0,250937800840448
19;0,282464028034548;0,275836195965833
20;0,30835667333263;0,301321131433158
21;0,334623961441994;0,327219200344251
22;0,361086426015924;0,353355799384583
23;0,387569493787005;0,379559875613233
24;0,413907743491446;0,405668146823941
25;0,439948391700648;0,431528626069192
26;0,465553917407887;0,457003349820313
27;0,490603808419671;0,481970276720578
28;0,514995473195932;0,506324383104315
29;0,538644407583232;0,529978027912272
30;0,561483735431965;0,552860691346508
31;0,583463256188815;0,574918208776606
32;0,604548133576598;0,596111625831325
33;0,624717350597588;0,61641579501361
34;0,643962040677571;0,635817821608641
35;0,662283785867811;0,654315450012295
36;0,679692953137647;0,671915463344242
37;0,696207120750924;0,688632151196562
38;0,711849629705791;0,704485883877768
39;0,726648280855726;0,719501817283088
40;0,740634186818517;0,733708740866541
41;0,753840779019248;0,747138072109792
42;0,766302963919889;0,759822994175475
43;0,778056418285925;0,771797728784249
44;0,789137010827591;0,783096933405636
45;0,799580336344739;0,793755210244188
46;0,80942134825725;0,803806713906151
47;0,818694075828313;0,81328484476359
48;0,82743141325245;0,822222015659115
49;0,835664968903443;0,830649480529809
50;0,843424964284631;0,838597214633023
51;0,850740173499497;0,846093837226328
52;0,857637895298647;0,853166568717059
53;0,864143950918932;0,859841215405756
54;0,870282701987849;0,866142175973393
55;0,876077083710627;0,872092464788987
56;0,881548649386793;0,877713747936362
57;0,886717623021211;0,883026388577328
58;0,891602957409381;0,888049498888557
59;0,896222395597394;0,892800996338554
60;0,9005925340539;0,897297662518432
61;0,904728886254961;0,901555203114948
62;0,908645945682676;0,905588307925733
63;0,912357247484158;0,909410710073506
64;0,915875428237062;0,913035243786273
65;0,91921228342877;0,916473900281256
66;0,922378822384909;0,919737881427857
67;0,925385320484667;0,922837650974824
68;0,928241368580124;0,925782983213797
69;0,930955919598437;0,928583009019395
70;0,933537332352736;0,931246259258645
71;0,935993412622647;0,933780705602534
72;0,938331451590919;0,93619379880224
73;0,940558261740561;0,938492504514242
74;0,942680210328786;0,940683336773564
75;0,94470325056125;0,94277238922429
76;0,946632950593566;0,944765364222337
77;0,948474520487733;0,946667599928107
78;0,950232837249721;0,948484095506903
79;0,95191246807137;0,950219534553386
80;0,95351769189566;0,951878306853422
81;0,955052519419436;0,953464528592724
82;0,956520711642232;0,954982061117144
83;0,957925797064086;0,956434528344411
84;0,959271087629374;0,957825332921845
85;0,960559693507788;0,959157671219233
86;0,961794536797791;0,960434547240627
87;0,962978364232266;0,961658785533583
88;0,9641137589606;0,962833043169194
89;0,965203151476299;0,963959820861316
90;0,966248829754255;0,965041473288665
91;0,967252948657144;0,966080218678949
92;0,968217538666065;0,967078147709945
93;0,969144513986367;0,968037231778444
94;0,970035680075832;0,96895933068419
95;0,970892740638759;0,969846199772481
96;0,971717304126173;0,970699496575768
97;0,972510889779302;0,971520786991574
98;0,973274933250593;0,972311551031207
99;0,974010791833879;0,973073188171101
100;0,97471974933288;0,973807022336218
